Name,Genre,Platform,Publisher
FIFA 14,Sports,PlayStation Portable,Electronic Arts
Tribes: Aerial Assault,Shooter,PlayStation 2,Unknown
Colony Wars: Vengeance,Simulation,PlayStation,Psygnosis
Last Window: The Secret of Cape West,Adventure,Nintendo DS,Nintendo
Yu-Gi-Oh! GX: Tag Force 3,Strategy,PlayStation Portable,Konami Digital Entertainment
Dynasty Warriors: Strikeforce,Action,Xbox 360,Tecmo Koei
Naruto Shippuden: Ultimate Ninja Storm Revolution,Fighting,Xbox 360,Namco Bandai Games
I Love Horses,Simulation,Nintendo DS,GSP
Madden NFL 06,Sports,Game Boy Advance,Electronic Arts
Karaoke Revolution Glee 2: Road to Regionals,Misc,Nintendo Wii,Konami Digital Entertainment
NASCAR 08,Racing,PlayStation 3,Electronic Arts
The King of Fighters '95 (CD),Fighting,Neo Geo,SNK
Perfect Weapon,Action,PlayStation,American Softworks
Luminous Arc 2,Role-Playing,Nintendo DS,Rising Star Games
Project CARS,Racing,Xbox One,Slightly Mad Studios
Major League Baseball 2K10,Sports,PlayStation 2,Take-Two Interactive
Call of Duty: Black Ops 3,Shooter,PC,Activision
Mafia,Action,Xbox,Take-Two Interactive
Spider-Man: Edge of Time,Action,PlayStation 3,Activision
Deadly Creatures,Action,Nintendo Wii,THQ
Airblade,Sports,PlayStation 2,Sony Computer Entertainment
Cabela's Outdoor Adventures (2009),Sports,PlayStation 3,Activision Value
Mega Man & Bass,Platform,Game Boy Advance,Capcom
NBA Live 15,Sports,PlayStation 4,Electronic Arts
Neopets Puzzle Adventure,Puzzle,Nintendo Wii,Capcom
Risen 2: Dark Waters,Role-Playing,PC,Deep Silver
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,Action,PlayStation Vita,Square Enix
Puss in Boots,Action,Xbox 360,THQ
Family Fest presents: Movie Games,Action,Nintendo Wii,Ubisoft
AKB1/149: Love Election,Adventure,PlayStation Portable,Namco Bandai Games
Tony Hawk's Proving Ground,Sports,Nintendo DS,Activision
Tetris 2 (weekly jp sales),Puzzle,Game Boy,Nintendo
Pro Yakyuu Team o Tsukurou! 2,Sports,PlayStation 2,Sega
Musou Orochi Z,Action,PlayStation 3,Tecmo Koei
World Series of Poker 2008: Battle for the Bracelets,Misc,PlayStation 2,Activision
WWE All Stars,Fighting,Nintendo 3DS,THQ
Naruto Shippuden: Ninja Council 4,Action,Nintendo DS,Nintendo
Genji: Dawn of the Samurai,Action,PlayStation 2,Sony Computer Entertainment
Rocket League,Sports,PlayStation 4,505 Games
Wipeout 2,Misc,Nintendo 3DS,Activision
The Idolm@ster SP: Wandering Star / Perfect Sun / Missing Moon,Adventure,PlayStation Portable,Namco Bandai Games
Critical Depth,Action,PlayStation,GT Interactive
Barbie as The Island Princess,Adventure,Game Boy Advance,Activision
Petz Rescue: Wildlife Vet,Simulation,Nintendo Wii,Ubisoft
Tales of VS.,Fighting,PlayStation Portable,Namco Bandai Games
Saka-Tsuku DS: Touch and Direct,Sports,Nintendo DS,Sega
Super Swing Golf,Sports,Nintendo Wii,Nintendo
The Italian Job,Racing,PlayStation 2,Eidos Interactive
Mega Man Battle Network 5: Team Colonel / Protoman,Role-Playing,Game Boy Advance,Capcom
Barbie and the Three Musketeers,Adventure,Nintendo Wii,Activision
Star Ocean,Role-Playing,Super Nintendo Entertainment System,Enix Corporation
Freedom Fighters,Shooter,Xbox,Electronic Arts
Naruto: Ninja Council 2 European Version,Fighting,Nintendo DS,Tomy Corporation
Soldier of Fortune II: Double Helix,Shooter,Xbox,Activision
pro evolution soccer 2011,Sports,Nintendo Wii,Konami Digital Entertainment
Disney Princess: Enchanted Journey,Adventure,PlayStation 2,Disney Interactive Studios
Final Fantasy XI: Treasures of Aht Urhgan,Role-Playing,PlayStation 2,Square Enix
Alundra,Role-Playing,PlayStation,Psygnosis
World Soccer Winning Eleven 2010: Aoki Samurai no Chousen,Sports,PlayStation 3,Konami Digital Entertainment
Bratz: Girlz Really Rock,Action,PlayStation 2,THQ
Super R-Type,Shooter,Super Nintendo Entertainment System,Nintendo
Rampage 2: Universal Tour,Action,PlayStation,GT Interactive
Super Robot Taisen F Kanketsuhen,Strategy,PlayStation,Banpresto
Tiger Woods PGA Tour 2003,Sports,GameCube,Electronic Arts
BlowOut,Shooter,PlayStation 2,Zoo Digital Publishing
NFL Blitz Pro,Sports,PlayStation 2,Midway Games
MySims Party,Simulation,Nintendo Wii,Electronic Arts
TRON: Evolution - Battle Grids,Racing,Nintendo Wii,Disney Interactive Studios
The Raiden Project,Shooter,PlayStation,Ocean
Hooked! Real Motion Fishing,Sports,Nintendo Wii,505 Games
Pocket Fighter,Fighting,PlayStation,Virgin Interactive
Bicycle Casino 2005,Misc,Xbox,Zoo Digital Publishing
Valhalla Knights 2,Role-Playing,PlayStation Portable,Rising Star Games
.hack//G.U. Vol.2//Reminisce,Role-Playing,PlayStation 2,Namco Bandai Games
Disgaea: Afternoon of Darkness,Role-Playing,PlayStation Portable,Tecmo Koei
Ratchet & Clank: Full Frontal Assault,Adventure,PlayStation 3,Sony Computer Entertainment
NCAA Football 09,Sports,PlayStation Portable,Electronic Arts
Family Party: 30 Great Games Winter Fun,Sports,Nintendo Wii,D3Publisher
NCAA GameBreaker 2004,Sports,PlayStation 2,Sony Computer Entertainment
101-in-1 Party Megamix Wii,Misc,Nintendo Wii,Nordcurrent
The Polar Express,Adventure,PlayStation 2,THQ
Dinosaur King,Strategy,Nintendo DS,Sega
Buzz! Junior: RoboJam,Misc,PlayStation 2,Sony Computer Entertainment
Child of Eden,Shooter,PlayStation 3,Ubisoft
All Star Karate,Action,Nintendo Wii,THQ
AC/DC LIVE: Rock Band Track Pack,Misc,Xbox 360,MTV Games
Tetris Attack,Puzzle,Game Boy,Nintendo
NBA ShootOut 2003,Sports,PlayStation 2,Sony Computer Entertainment
The Magic School Bus: Oceans,Adventure,Nintendo DS,Scholastic Inc.
Shin Nippon Pro Wrestling: Toukon Retsuden 3,Fighting,PlayStation,Tomy Corporation
Senran Kagura: Estival Versus,Action,PlayStation Vita,Marvelous Interactive
Digimon World DS (JP sales),Role-Playing,Nintendo DS,Namco Bandai Games
NHL FaceOff 2003,Sports,PlayStation 2,Sony Computer Entertainment
Jersey Devil,Platform,PlayStation,Ocean
Rogue Ops,Action,PlayStation 2,Kemco
NBA Street: Showdown,Sports,PlayStation Portable,Electronic Arts
3rd Super Robot Wars Z Jigoku Hen,Role-Playing,PlayStation 3,Namco Bandai Games
Cars 2,Racing,Nintendo 3DS,Disney Interactive Studios
Petz Monkeyz House,Simulation,Nintendo DS,Ubisoft
Spec Ops: The Line,Shooter,PC,Take-Two Interactive
Legion: The Legend of Excalibur,Action,PlayStation 2,Midway Games
FaceBreaker K.O. Party,Fighting,Nintendo Wii,Electronic Arts
Justice League Heroes,Role-Playing,PlayStation Portable,Eidos Interactive
Gekijouban Macross F: Sayonara no Tsubasa - Hybrid Pack,Action,PlayStation 3,Namco Bandai Games
TNA iMPACT!,Fighting,PlayStation 2,Midway Games
Yu-Gi-Oh! GX: Spirit Caller (American Sales),Misc,Nintendo DS,Konami Digital Entertainment
Def Jam: Fight for NY,Fighting,GameCube,Electronic Arts
Sword Art Online: Infinity Moment,Role-Playing,PlayStation Portable,Namco Bandai Games
Spartan: Total Warrior,Action,PlayStation 2,Sega
Killer is Dead,Action,PlayStation 3,Deep Silver
EX Monopoly,Misc,Game Boy Advance,Takara
Star Trek: The Game,Action,Xbox 360,Namco Bandai Games
64 de Hakken! Tamagotchi Minna de Tamagotchi World,Misc,Nintendo 64,Namco Bandai Games
Mary-Kate and Ashley: Sweet 16 - Licenced to Drive,Misc,GameCube,Acclaim Entertainment
Deadly Duck,Shooter,Atari 2600,20th Century Fox Video Games
Assault,Action,Atari 2600,Bomb
Reactor,Action,Atari 2600,Parker Bros.
Ys Seven,Role-Playing,PlayStation Portable,Falcom Corporation
Marvel Super Hero Squad: The Infinity Gauntlet,Action,Nintendo DS,THQ
Gundam Battle Chronicle,Action,PlayStation Portable,Namco Bandai Games
G-Force,Action,PlayStation 3,Disney Interactive Studios
Danball Senki Boost,Action,PlayStation Portable,Level 5
Kidz Bop Dance Party! The Video Game,Misc,Nintendo Wii,D3Publisher
Conflict: Vietnam,Shooter,Xbox,SCi
Whirl Tour,Sports,PlayStation 2,Crave Entertainment
Time Crisis: Crisis Zone,Shooter,PlayStation 2,Namco Bandai Games
Momotarou Dentetsu 15,Misc,PlayStation 2,Hudson Soft
Dark Souls II,Role-Playing,Xbox One,Namco Bandai Games
Discovery Kids: Dolphin Discovery,Simulation,Nintendo DS,505 Games
Ben 10 Ultimate Alien: Cosmic Destruction,Platform,PlayStation 2,D3Publisher
Hatsune Miku: Project Mirai 2,Action,Nintendo 3DS,Sega
Skies of Arcadia Legends,Role-Playing,GameCube,Atari
Cloudy With a Chance of Meatballs,Platform,Nintendo DS,Ubisoft
MotoGP 08,Racing,PlayStation 2,Capcom
Madden NFL 12,Sports,PlayStation Portable,Electronic Arts
Sengoku Basara 3 Utage,Action,PlayStation 3,Capcom
Breath of Fire,Role-Playing,Game Boy Advance,Ubisoft
Ragnarok DS,Role-Playing,Nintendo DS,GungHo
Ford vs. Chevy,Racing,PlayStation 2,Global Star
NCAA Football 2005,Sports,GameCube,Electronic Arts
Hamtaro: Ham-Ham Games,Sports,Game Boy Advance,Nintendo
Danny Phantom: The Ultimate Enemy,Action,Game Boy Advance,THQ
Petz Rescue: Endangered Paradise,Adventure,Nintendo DS,Ubisoft
MotoGP 09/10,Racing,PlayStation 3,Capcom
Rune Factory: Tides of Destiny,Role-Playing,PlayStation 3,Marvelous Interactive
A Boy and His Blob,Platform,Nintendo Wii,Majesco Entertainment
Battleborn,Shooter,PlayStation 4,Take-Two Interactive
Move Fitness,Sports,PlayStation 3,Sony Computer Entertainment
Atelier Escha & Logy: Alchemists of the Dusk Sky,Role-Playing,PlayStation 3,Tecmo Koei
Hidden Mysteries: Buckingham Palace,Puzzle,Nintendo DS,Avanquest
Crazy Climber,Action,Atari 2600,Atari
Super Adventure Island,Platform,Super Nintendo Entertainment System,Hudson Soft
Bust-A-Move 4,Puzzle,PlayStation,Acclaim Entertainment
The Legend of Spyro: The Eternal Night,Platform,Nintendo Wii,Vivendi Games
NFL Quarterback Club 97,Sports,PlayStation,Acclaim Entertainment
Rampage: Total Destruction,Action,Nintendo Wii,Midway Games
Galactic Wrestling: Featuring Ultimate Muscle,Fighting,PlayStation 2,Namco Bandai Games
Petz: Horse Club,Misc,Nintendo Wii,Ubisoft
Dino Stalker,Shooter,PlayStation 2,Capcom
Rapala's Fishing Frenzy,Sports,Nintendo Wii,Activision
Mobile Suit Gundam Seed,Action,PlayStation 2,Namco Bandai Games
Shinobi,Platform,Nintendo 3DS,Sega
Puss in Boots,Action,Nintendo Wii,THQ
Tony Hawk's Downhill Jam,Sports,Nintendo DS,Activision
Mega Man Zero 3,Platform,Game Boy Advance,Capcom
LEGO The Lord of the Rings,Action,PC,Warner Bros. Interactive Entertainment
Hitman: HD Trilogy,Action,PlayStation 3,Square Enix
Aliens vs Predator: Requiem,Action,PlayStation Portable,Vivendi Games
Castlevania: Lords of Shadow 2,Action,PlayStation 3,Konami Digital Entertainment
Barbie: Groom and Glam Pups,Action,Nintendo Wii,THQ
KORG DS-10 Synthesizer,Misc,Nintendo DS,AQ Interactive
Tenchu: Shadow Assassins,Action,Nintendo Wii,Ubisoft
Barbie Super Sports,Sports,PlayStation,Mattel Interactive
CSI: Fatal Conspiracy,Adventure,Nintendo Wii,Ubisoft
Nicktoons Collection: Game Boy Advance Video Volume 2,Misc,Game Boy Advance,
Jackass the Game,Action,PlayStation Portable,Empire Interactive
The Legend of Heroes: Trails of Cold Steel,Role-Playing,PlayStation 3,Nippon Ichi Software
Tom Clancy's Rainbow Six: Siege,Shooter,PC,Ubisoft
Dungeon Hunter Alliance,Action,PlayStation Vita,Ubisoft
LEGO Harry Potter: Years 5-7,Action,PC,Warner Bros. Interactive Entertainment
Duel Masters: Kaijudo Showdown,Misc,Game Boy Advance,Atari
Imagine: Boutique Owner,Simulation,Nintendo DS,Ubisoft
The Walking Dead: Season Two,Adventure,PlayStation 3,Telltale Games
The Lord of the Rings: The Third Age,Role-Playing,Game Boy Advance,Electronic Arts
Cursed Mountain,Adventure,Nintendo Wii,Deep Silver
The Suffering,Action,Xbox,Midway Games
Dragon Quest Builders: Revive Alefgard,Role-Playing,PlayStation 4,Square Enix
Tetris Worlds,Puzzle,GameCube,THQ
Teenage Mutant Ninja Turtles: Danger of the Ooze,Adventure,Xbox 360,Activision
ECW Hardcore Revolution,Fighting,Nintendo 64,Acclaim Entertainment
Mega Man 64,Action,Nintendo 64,Capcom
Chou-Kuukan Night Pro Yakyuu King(higher JP sales),Sports,Nintendo 64,Imagineer
Rampage 2: Universal Tour,Action,Nintendo 64,GT Interactive
Ms. Pac-Man: Maze Madness,Puzzle,Nintendo 64,Namco Bandai Games
Tales of Graces,Role-Playing,Nintendo Wii,Namco Bandai Games
Age of Empires: Mythologies,Strategy,Nintendo DS,THQ
Viewtiful Joe 2,Action,GameCube,Capcom
Where's Waldo? The Fantastic Journey,Adventure,Nintendo DS,Ubisoft
ATV Quad Kings,Racing,Nintendo Wii,Zoo Digital Publishing
Mary-Kate and Ashley: Sweet 16 - Licenced to Drive,Misc,PlayStation 2,Acclaim Entertainment
Jewel Quest: Expeditions,Puzzle,Nintendo DS,Avanquest
NBA Jam Extreme,Sports,PlayStation,Acclaim Entertainment
Dragon Ball: Origins (JP & incomplete US sales),Adventure,Nintendo DS,Atari
Touch the Dead,Shooter,Nintendo DS,Eidos Interactive
Tropico 3,Strategy,Xbox 360,Kalypso Media
Nickelodeon Party Blast,Misc,Xbox,Infogrames
Ben 10 Alien Force: Vilgax Attacks,Action,Xbox 360,D3Publisher
NHL Championship 2000,Sports,PlayStation,Fox Interactive
G.I. Joe: The Rise of Cobra,Action,Nintendo Wii,Electronic Arts
Shellshock: Nam '67,Shooter,Xbox,Eidos Interactive
Hunted: The Demon's Forge,Action,Xbox 360,Bethesda Softworks
Kartia: The Word of Fate,Strategy,PlayStation,Konami Digital Entertainment
Tales of Berseria,Role-Playing,PlayStation 4,Namco Bandai Games
All-Star Baseball 2002,Sports,GameCube,Acclaim Entertainment
Magna Carta: Tears of Blood,Role-Playing,PlayStation 2,505 Games
Lethal Skies Elite Pilot: Team SW,Simulation,PlayStation 2,Sammy Corporation
Capcom vs. SNK,Fighting,Dreamcast,Virgin Interactive
NBA Live 09 All-Play,Sports,Nintendo Wii,Electronic Arts
Infinite Space,Role-Playing,Nintendo DS,Sega
Yoostar2,Misc,Xbox 360,Unknown
Transformers: Devastation,Action,PlayStation 4,Activision
Tamagotchi no KiraKira Omisecchi,Misc,Nintendo DS,Namco Bandai Games
From Russia With Love,Action,GameCube,Electronic Arts
You Don't Know Jack,Misc,Nintendo Wii,THQ
Just Dance 2016,Misc,PlayStation 3,Ubisoft
Pinball Hall of Fame: The Williams Collection,Misc,PlayStation 3,Crave Entertainment
Guitar Hero: Smash Hits,Misc,PlayStation 2,Activision
NFL Quarterback Club 2002,Sports,PlayStation 2,Acclaim Entertainment
Kirby's Star Stacker,Puzzle,Game Boy,Nintendo
NCAA Basketball 09,Sports,Xbox 360,Electronic Arts
Full Auto,Shooter,Xbox 360,Sega
Dead Island,Action,PC,Deep Silver
Growlanser: Heritage of War,Role-Playing,PlayStation 2,Rising Star Games
Hasbro Family Game Night,Puzzle,Nintendo DS,Electronic Arts
Shin Megami Tensei x Fire Emblem,Role-Playing,Wii U,Nintendo
Rugby 2004,Sports,PlayStation 2,Electronic Arts
Disney's Magical Quest Starring Mickey and Minnie,Action,Game Boy Advance,Nintendo
Spirit Camera: The Cursed Memoir,Adventure,Nintendo 3DS,Nintendo
NBA 06,Sports,PlayStation Portable,Sony Computer Entertainment
Naruto: Ninja Council,Action,Game Boy Advance,Tomy Corporation
Shin Megami Tensei: Persona,Role-Playing,PlayStation Portable,Atlus
DS Nishimura Kyotaro Suspense Shin Tantei Series: Kyoto Atami Zekkai no Kotou - Satsui no Wana,Adventure,Nintendo DS,Tecmo Koei
Wreckless: ThE YaKuza MisSiOns,Racing,PlayStation 2,Activision
Madden NFL 07,Sports,Nintendo DS,Electronic Arts
Jikkyou Powerful Major League,Sports,PlayStation 2,Konami Digital Entertainment
NFL 2K3,Sports,GameCube,Sega
Darksiders II,Action,PlayStation 4,Nordic Games
Saltwater Sportfishing,Sports,PlayStation,Take-Two Interactive
Yoshi Touch & Go (JP sales),Platform,Nintendo DS,Nintendo
Samurai Jack: The Amulet of Time,Platform,Game Boy Advance,Zoo Digital Publishing
Pass the Pigs,Misc,Nintendo DS,THQ
J-League Winning Eleven 2008: Club Championship,Sports,PlayStation 2,Konami Digital Entertainment
Jackie Chan: Stuntmaster,Action,PlayStation,Sony Computer Entertainment
Sports Car GT,Racing,PlayStation,Electronic Arts
Lost Planet 3,Shooter,PlayStation 3,Capcom
Order Up!,Misc,Nintendo Wii,Zoo Digital Publishing
Code Name: S.T.E.A.M.,Strategy,Nintendo 3DS,Nintendo
SBK X: Superbike World Championship,Racing,PlayStation 3,Black Bean Games
NBA Live 14,Sports,PlayStation 4,Electronic Arts
Scooby-Doo! Mystery Mayhem,Action,GameCube,THQ
Kanzen Chuuki Pro Yakyuu Greatest Nine,Sports,Sega Saturn,Sega
American Idol,Misc,Game Boy Advance,Codemasters
Summer Athletics: The Ultimate Challenge (Others sales),Sports,Nintendo Wii,DTP Entertainment
Britney's Dance Beat,Misc,Game Boy Advance,THQ
Shrek SuperSlam,Action,GameCube,Activision
Sniper: Ghost Warrior 2,Shooter,Xbox 360,City Interactive
Over G Fighters,Simulation,Xbox 360,Ubisoft
Sailor Moon,Action,Super Nintendo Entertainment System,Namco Bandai Games
Apache: Air Assault,Simulation,PlayStation 3,Activision
One Piece: Pirate Warriors 3,Action,PlayStation Vita,Namco Bandai Games
Herdy Gerdy,Adventure,PlayStation 2,Eidos Interactive
Armored Core V,Simulation,Xbox 360,Namco Bandai Games
EVE Online,Role-Playing,PC,CCP
Digimon World Re:Digitize,Action,PlayStation Portable,Namco Bandai Games
Ninja Gaiden: Dragon Sword,Action,Nintendo DS,Tecmo Koei
Ride,Racing,PlayStation 4,Milestone S.r.l.
Blue Dragon Plus,Role-Playing,Nintendo DS,Ignition Entertainment
Lords of the Fallen,Role-Playing,Xbox One,Square Enix
NBA in the Zone 2000,Sports,PlayStation,Konami Digital Entertainment
Dark Summit,Sports,PlayStation 2,THQ
Afrika,Adventure,PlayStation 3,Unknown
Cabela's Big Game Hunter: Ultimate Challenge,Sports,PlayStation,Activision Value
The Legend of Heroes: Trails in the Sky First Chapter,Role-Playing,PlayStation Portable,Ghostlight
Are You Smarter Than a 5th Grader? Back to School,Misc,Nintendo Wii,Nintendo
Steins;Gate,Adventure,PlayStation Vita,PQube
The Dukes of Hazzard: Return of the General Lee,Racing,PlayStation 2,Ubisoft
Pandemonium!,Platform,PlayStation,BMG Interactive Entertainment
SingStar: Back to the 80s,Misc,PlayStation 3,Sony Computer Entertainment
Namco Museum: 50th Anniversary,Misc,GameCube,Namco Bandai Games
Crash 'N' Burn,Racing,PlayStation 2,Eidos Interactive
NBA,Sports,PlayStation Portable,Sony Computer Entertainment
Teenage Mutant Ninja Turtles: Smash-Up,Fighting,PlayStation 2,Ubisoft
Pro Yakyuu Greatest Nine '97,Sports,Sega Saturn,Sega
Transformers: Dark of the Moon,Action,Nintendo 3DS,Activision
Final Fantasy Fables: Chocobo's Dungeon,Role-Playing,Nintendo Wii,Square Enix
Lunar: Silver Star Story Complete,Role-Playing,Sega Saturn,Kadokawa Shoten
Dorabase DS: Dramatic Stadium,Sports,Nintendo DS,Namco Bandai Games
Disaster Report,Action,PlayStation 2,Agetec
EVE: burst error,Adventure,Sega Saturn,Imagineer
We Sing Robbie Williams,Misc,Nintendo Wii,Nordic Games
Backyard NFL Football '09,Sports,Nintendo Wii,Atari
Pro Evolution Soccer 2012,Action,Nintendo Wii,Konami Digital Entertainment
Akiba's Trip: Undead & Undressed,Action,PlayStation Vita,Nippon Ichi Software
Speed Racer: The Videogame,Racing,PlayStation 2,Warner Bros. Interactive Entertainment
College Hoops 2K7,Sports,Xbox 360,Take-Two Interactive
The Amazing Spider-Man 2 (2014),Action,Xbox One,Activision
Big League Sports,Sports,Xbox 360,Activision
Bratz: Forever Diamondz,Adventure,GameCube,THQ
WCW Backstage Assault,Action,PlayStation,Electronic Arts
UFC Undisputed 2010,Fighting,PlayStation Portable,THQ
Baja: Edge of Control,Racing,PlayStation 3,THQ
Wild Wild Racing,Racing,PlayStation 2,Interplay
Magician's Quest: Town of Magic,Simulation,Nintendo 3DS,Konami Digital Entertainment
The Bard's Tale,Role-Playing,PlayStation 2,Ubisoft
NCAA March Madness 08,Sports,Xbox 360,Electronic Arts
Momotarou Dentetsu 16,Misc,PlayStation 2,Hudson Soft
Robotech: The Macross Saga,Shooter,Game Boy Advance,TDK Mediactive
Yu Yu Hakusho: Dark Tournament,Fighting,PlayStation 2,
MTV Celebrity Deathmatch,Fighting,Xbox,Gotham Games
Gekijouban Macross F: Itsuwarino Utahime - Hybrid Pack,Action,PlayStation 3,Namco Bandai Games
Conflict Zone,Strategy,PlayStation 2,Ubisoft
Tony Hawk's American Sk8land,Sports,Nintendo DS,Activision
de Blob 2,Platform,PlayStation 3,THQ
The BIGS 2,Sports,Xbox 360,Take-Two Interactive
BloodRayne,Shooter,Xbox,Universal Interactive
Hannah Montana: The Movie,Adventure,Xbox 360,Disney Interactive Studios
50 Cent: Blood on the Sand,Shooter,Xbox 360,THQ
Bratz: Girlz Really Rock,Action,Nintendo Wii,THQ
NHL 2K6,Sports,Xbox,Take-Two Interactive
Tenchu: Return From Darkness,Action,Xbox,Activision
World Poker Tour,Misc,PlayStation 2,Take-Two Interactive
Prison Break: The Conspiracy,Action,Xbox 360,Deep Silver
Neo Contra,Shooter,PlayStation 2,Konami Digital Entertainment
MVP Baseball,Sports,PlayStation Portable,Electronic Arts
GRID Autosport,Racing,PlayStation 3,Codemasters
Ghostbusters II,Action,Atari 2600,Activision
Breakaway IV,Puzzle,Atari 2600,Sears
RealSports Baseball,Sports,Atari 2600,Atari
Now! That's What I Call Music: Dance & Sing,Misc,Nintendo Wii,Unknown
Yu-Gi-Oh! 5D's World Championship 2011: Over the Nexus,Strategy,Nintendo DS,Konami Digital Entertainment
Metal Gear Solid V: The Phantom Pain,Action,Xbox 360,Konami Digital Entertainment
Hasbro Family Game Night 3,Misc,Xbox 360,Electronic Arts
G.I. Joe: The Rise of Cobra,Action,PlayStation 3,Electronic Arts
Rayman Raving Rabbids,Misc,Xbox 360,Ubisoft
Viewtiful Joe 2,Action,PlayStation 2,Capcom
Quake III: Revolution,Shooter,PlayStation 2,Electronic Arts
Pac-Man World 3,Platform,PlayStation 2,Namco Bandai Games
Naruto: Clash of Ninja (JP sales),Fighting,GameCube,Tomy Corporation
Robotech: Battlecry,Shooter,Xbox,Unknown
NOëL: NOT DiGITAL,Adventure,PlayStation,Pioneer LDC
Transformer: Rise of the Dark Spark,Action,PlayStation 4,Activision
Dragon Ball Z Hyper Dimension,Fighting,Super Nintendo Entertainment System,Namco Bandai Games
Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,Adventure,Nintendo Wii,GSP
Senran Kagura 2: Deep Crimson,Action,Nintendo 3DS,Marvelous Entertainment
Marvel Super Hero Squad,Fighting,PlayStation Portable,THQ
The Chronicles of Narnia: Prince Caspian,Action,Nintendo DS,Disney Interactive Studios
Champion Jockey: G1 Jockey & Gallop Racer,Sports,PlayStation 3,Tecmo Koei
HBO Boxing,Fighting,PlayStation,Acclaim Entertainment
Yoga Wii,Sports,Nintendo Wii,JoWood Productions
Darkwatch,Shooter,Xbox,Ubisoft
Cabela's Survival: Shadows of Katmai,Sports,Nintendo Wii,Activision
Prince of Persia: Revelations,Adventure,PlayStation Portable,Ubisoft
Bass Pro Shops: The Strike,Sports,Xbox 360,XS Games
Front Mission 5: Scars of the War,Strategy,PlayStation 2,Square Enix
Maximo vs Army of Zin,Platform,PlayStation 2,Capcom
The Fairly OddParents: Breakin' Da Rules,Platform,GameCube,THQ
Namco Museum Megamix,Misc,Nintendo Wii,Namco Bandai Games
Wedding Dash,Action,Nintendo DS,Zoo Games
Hot Shots Tennis: Get a Grip,Sports,PlayStation Portable,Sony Computer Entertainment
Summoner 2,Role-Playing,PlayStation 2,THQ
The Land Before Time: Big Water Adventure,Platform,PlayStation,TDK Mediactive
Shadow of Destiny,Adventure,PlayStation 2,Konami Digital Entertainment
Valkyria Chronicles III: Unrecorded Chronicles,Strategy,PlayStation Portable,Sega
Cabela's Deer Hunt: 2004 Season,Sports,Xbox,Activision Value
Disney's Planes,Simulation,Wii U,Disney Interactive Studios
Brunswick Pro Bowling,Sports,PlayStation Portable,505 Games
World Series of Poker,Misc,PlayStation Portable,Activision
ClayFighter 63 1/3,Fighting,Nintendo 64,Interplay
Monopoly,Misc,Nintendo 64,Hasbro Interactive
WCW Nitro,Fighting,Nintendo 64,THQ
Cruis'n Exotica,Racing,Nintendo 64,Midway Games
Gex 3: Deep Cover Gecko,Platform,Nintendo 64,Crave Entertainment
WinBack: Covert Operations,Shooter,Nintendo 64,Virgin Interactive
Heroes of Ruin,Role-Playing,Nintendo 3DS,Nintendo
WipeOut 3 The Game,Action,Xbox 360,Activision
Bastard!! Utsuro Naru Kamigami no Utsuwa,Role-Playing,PlayStation,Seta Corporation
SBK Superbike World Championship,Racing,Xbox 360,Black Bean Games
The King of Fighters '96,Fighting,Sega Saturn,SNK
Bionicle,Action,GameCube,Electronic Arts
WRC: FIA World Rally Championship,Racing,PlayStation 3,Black Bean Games
Angel Blade: Neo Tokyo Guardians,Role-Playing,PlayStation,On Demand
Threads of Fate,Role-Playing,PlayStation,SquareSoft
PoPoLoCrois Monogatari II,Role-Playing,PlayStation,Sony Computer Entertainment
Famicom Mini: Ganbare Goemon! Karakuri Douchuu,Platform,Game Boy Advance,Konami Digital Entertainment
Vampire Rain,Action,Xbox 360,Microsoft Game Studios
Way of the Samurai 3,Action,Xbox 360,Gamebridge
Deus Ex: The Conspiracy,Action,PlayStation 2,Eidos Interactive
Unreal II: The Awakening,Shooter,Xbox,Atari
Rumble Racing,Racing,PlayStation 2,Electronic Arts
Spider-Man: Web of Shadows,Action,PlayStation 2,Activision
Disgaea D2: A Brighter Darkness,Role-Playing,PlayStation 3,Nippon Ichi Software
Batman Begins,Action,Xbox,Electronic Arts
Just Dance: Greatest Hits,Misc,Nintendo Wii,Ubisoft
J-League Winning Eleven 10 + Europa League 06-07,Sports,PlayStation 2,Konami Digital Entertainment
Shrek: Reekin' Havoc,Platform,Game Boy Advance,TDK Mediactive
Solatorobo: Red the Hunter,Role-Playing,Nintendo DS,Nintendo
Tales of Phantasia: Narikiri Dungeon X,Role-Playing,PlayStation Portable,Namco Bandai Games
JSRF: Jet Set Radio Future,Action,Xbox,Sega
NHL Hitz 20-02,Sports,GameCube,Midway Games
The Last Airbender,Action,Nintendo Wii,THQ
NCAA Football 2003,Sports,GameCube,Electronic Arts
StokEd,Sports,Xbox 360,Zushi Games
Rollcage,Racing,PlayStation,Psygnosis
ESPN Winter X Games: Snowboarding 2002,Sports,PlayStation 2,Konami Digital Entertainment
Project: Snowblind,Action,PlayStation 2,Eidos Interactive
Tony Hawk's Motion,Sports,Nintendo DS,Activision
Super Robot Taisen K,Strategy,Nintendo DS,Namco Bandai Games
Mortal Kombat: Special Forces,Fighting,PlayStation,Midway Games
LEGO The Hobbit,Action,PlayStation Vita,Warner Bros. Interactive Entertainment
Rayman Legends,Platform,PlayStation Vita,Ubisoft
