Make,Model,baseModel,Year
GMC,Sierra 4WD,Sierra,2019
Lexus,LS 500h,LS,2019
Mercedes-Benz,"Metris (Cargo Van, LWB)",Metris Cargo,2021
Oldsmobile,Delta 88,Delta 88,2013
Jeep,Grand Cherokee L 4WD,Grand Cherokee,2023
Daihatsu,Charade,Charade,2013
Buick,Rainier 2WD,Rainier,2013
Chrysler,Town and Country Wagon,Town and Country,2013
Roush Performance,Stage 3 Mustang,Mustang,2013
Jeep,Patriot 4WD,Patriot,2013
Land Rover,LR3,LR3,2013
Chevrolet,TrailBlazer 4WD,TrailBlazer,2013
Subaru,Legacy AWD,Legacy/Outback,2013
Lexus,RX 350 2WD,RX,2013
Dodge,Journey  2WD,Journey,2013
Dodge,Durango 2WD,Durango,2013
Mercury,Lynx,Lynx,2013
Mazda,B2000/B2200 Pickup 2WD,B Pickup,2013
Jeep,Scrambler Pickup 4WD,Scrambler Pickup,2013
Volkswagen,Jetta,Jetta,2013
BMW,M340i xDrive Sedan,3 Series,2023
Ram,1500 TRX 4WD,1500,2023
Honda,Civic 4Dr,Civic,2023
Audi,SQ8 e-tron (21/22 inch wheels),SQ8 e-tron,2023
Honda,Clarity FCV,Clarity,2022
Kia,Seltos AWD,Seltos,2024
Buick,Electra/Park Avenue,Electra/Park Avenue,2013
Mitsubishi,Mirage,Mirage,2013
GMC,K2500 Sierra 4WD,K2500 Sierra,2013
Mitsubishi,Eclipse,Eclipse,2013
Suzuki,Swift,Swift,2013
Chrysler,New Yorker Fifth Avenue/Imperial,New Yorker Fifth Avenue/Imperial,2013
Mercedes-Benz,190E 2.6,190,2013
Mercedes-Benz,560SEC,560,2013
GMC,C2500 Sierra 2WD,C2500 Sierra,2013
Ford,F150 Pickup 4WD,F150,2013
BMW,535i,5 Series,2013
Mitsubishi,Expo,Expo,2013
Ford,Ranger Pickup 4WD,Ranger,2013
Volkswagen,Atlas,Atlas,2018
Subaru,Wagon 4WD,Wagon,2013
Ram,1500 4WD,1500,2019
Cadillac,CT5,CT5,2020
Volvo,XC90 AWD,XC90,2020
Toyota,Corolla Hatchback,Corolla,2020
Toyota,Avalon Hybrid XLE,Avalon,2020
Mercedes-Benz,A220 4matic,A-Class,2020
Mercedes-Benz,AMG E53 4matic Plus Coupe,E-Class,2020
BMW,530i xDrive Sedan,5 Series,2021
BMW,X6 M50i,X6,2021
Jeep,Cherokee Trailhawk 4WD,Cherokee,2022
BMW,iX xDrive50 (22 inch wheels),iX,2022
Land Rover,New Range Rover Sport,Range Rover,2022
BMW,M3 Competition M xDrive Sedan,M,2022
Mercedes-Benz,AMG GLS63 4matic Plus,GLS-Class,2022
Chrysler,LeBaron GTS,LeBaron,2013
Chrysler,300 AWD,300,2022
Nissan,Pickup 2WD,Pickup,2013
Ford,Ranger Pickup 2WD,Ranger,2013
Audi,A5 Cabriolet quattro,A5,2013
Nissan,300ZX,300ZX,2013
Nissan,Pathfinder 2WD,Pathfinder,2013
Dodge,Dakota Pickup 2WD,Dakota Pickup,2013
Mercury,Mariner 4WD,Mariner,2013
Toyota,Venza,Venza,2013
Porsche,911 GTS,911,2013
Lincoln,MKT Livery AWD,MKT,2013
Porsche,New 911 Carrera,New 911 Carrera,2013
MINI,John Cooper Works Coupe,John Cooper Works,2013
Jeep,Patriot 4WD,Patriot,2013
BMW,X3 xDrive28i,X3,2013
Mitsubishi,Outlander 4WD,Outlander,2013
Volkswagen,Beetle Convertible,Beetle,2013
BMW,528i,5 Series,2013
Ford,Fusion Energi Plug-in Hybrid,Fusion,2013
Audi,A8,A8,2014
Cadillac,SRX AWD,SRX,2014
Chevrolet,Tahoe K1500 4WD,Tahoe,2015
GMC,Yukon C1500 XL 2WD,Yukon,2015
Mercedes-Benz,GL450 4matic,GL-Class,2015
Tesla,Model S AWD - 85D,Model S,2016
Subaru,Sedan 4WD,Sedan,2013
Dodge,Caravan/Grand Caravan 2WD,Caravan/Grand Caravan,2013
Acura,TL 4WD,TL,2013
Subaru,Tribeca AWD,Tribeca,2013
Chrysler,200 Convertible,200,2013
Subaru,Wagon 4WD Turbo,Wagon,2013
Porsche,911 Carrera GTS Cabriolet,911,2015
Volkswagen,GTI,Golf/GTI,2013
Chevrolet,Van 1500/2500 2WD,Van 1500/2500,2013
Ford,Focus,Focus,2013
Mercury,Mountaineer 4WD,Mountaineer,2013
Mercury,Milan,Milan,2013
Chrysler,Sebring,Sebring,2013
Hyundai,Elantra Wagon,Elantra,2013
Toyota,MR2,MR2,2013
Lincoln,Navigator 2WD,Navigator,2016
Honda,Civic 4Dr,Civic,2016
BMW,323i Convertible,3 Series,2013
Jaguar,F-Type S Convertible,F-Type,2017
Land Rover,Range Rover PHEV,Range Rover,2019
Chevrolet,Spark,Spark,2020
Acura,RDX FWD A-SPEC,RDX,2020
Subaru,Legacy AWD,Legacy,2020
Honda,Accord Hybrid,Accord,2020
Land Rover,Range Rover Evoque MHEV,Range Rover,2021
Jeep,Compass 2WD,Compass,2013
Mitsubishi,Lancer,Lancer,2013
Nissan,Frontier 4WD,Frontier,2013
Infiniti,Q70,Q70,2013
Infiniti,Q60 Convertible,Q60,2014
Ford,F150 Pickup 2WD,F150,2013
Mitsubishi,Eclipse,Eclipse,2013
BMW,745li,7 Series,2013
Cadillac,Escalade 2WD,Escalade,2013
Dodge,Neon/SRT-4/SX 2.0,Neon/SRT-4/SX 2.0,2013
Chevrolet,Colorado 4WD,Colorado,2013
Dodge,Caravan/Grand Caravan 2WD,Caravan/Grand Caravan,2013
Nissan,Versa,Versa,2013
Chevrolet,HHR FWD,HHR,2013
Ford,Explorer 2WD,Explorer,2013
Mercedes-Benz,CL65 AMG,CL-Class,2013
Mercedes-Benz,CLK350,CLK-Class,2013
Chrysler,300/SRT-8,300 SRT8,2013
Pontiac,Solstice,Solstice,2013
Pontiac,2000 Sunbird,Sunbird,2013
Pontiac,Firebird,Firebird/Trans Am/Formula,2013
Ford,Edge AWD,Edge,2016
Jaguar,F-Pace,F-Pace,2017
Chevrolet,Sonic,Sonic,2017
Mazda,6,6,2018
Nissan,Titan 2WD,Titan,2020
BMW,840i Convertible,8 Series,2021
Hyundai,Ioniq Plug-in Hybrid,Ioniq,2021
Mcevoy Motors,240 DL/240 GL Sedan,240 DL/240 GL Sedan,2013
Dodge,Challenger SRT Widebody,Challenger,2022
Mercedes-Benz,GLS580 4matic,GLS-Class,2022
Cadillac,LYRIQ,LYRIQ,2022
BMW,330i Sedan,3 Series,2022
Mercedes-Benz,C300,C-Class,2022
Chrysler,Town and Country Wagon,Town and Country,2013
Dodge,B150/B250 Wagon 2WD,B150/B250 Wagon,2013
Mercedes-Benz,SLK350,SLK-Class,2013
Cadillac,CTS,CTS,2013
Chevrolet,Colorado Cab Chassis inc 4WD,Colorado,2013
Porsche,911 Carrera 4 GTS Cabriolet,911,2017
Ford,Fusion AWD,Fusion,2018
Lincoln,Nautilus FWD,Nautilus,2018
Hyundai,Veloster,Veloster,2019
Nissan,Altima SV/SL,Altima,2020
Audi,R8 Spyder,R8,2021
Mazda,323,323,2013
Porsche,718 Cayman GTS,718,2023
Land Rover,New Range Rover P440 PHEV,Range Rover,2023
Chevrolet,C10 Pickup 2WD,C10 Pickup,2013
Jeep,J-20 Pickup Truck 4WD,J-20 Pickup,2013
Chrysler,Conquest,Conquest,2013
Nissan,Sentra Wagon,Sentra,2013
Plymouth,Acclaim,Acclaim,2013
Toyota,Corolla All-Trac Wagon,Corolla,2013
Kia,Spectra,Spectra,2013
Peugeot,505 Station Wagon,505,2013
Maybach,62S,62,2013
Toyota,Truck 2WD,Truck/T100,2013
Mercedes-Benz,GL320 CDI 4matic,GL-Class,2013
Saab,9-3 Convertible,9-3,2013
Chevrolet,Tahoe Hybrid 4WD,Tahoe,2013
Pontiac,Fiero,Fiero,2013
Volkswagen,Quantum,Quantum,2013
Nissan,240SX,240SX,2013
Mitsubishi,3000 GT,3000 GT,2013
Subaru,Legacy AWD,Legacy/Outback,2013
Chevrolet,Malibu,Malibu,2013
BMW,740i,7 Series,2013
Jeep,CJ7,CJ,2013
Dodge,AW100/AW150 Ramcharger 4WD,Ramcharger,2013
GMC,S15 Cab Chassis 2WD,S15 Cab Chassis,2013
Ford,Escape 4WD,Escape,2013
Dodge,Nitro 2WD,Nitro,2013
Cadillac,CTS AWD,CTS,2013
Volkswagen,Jetta,Jetta,2013
Nissan,Rogue FWD,Rogue,2013
Mercedes-Benz,C350,C-Class,2013
Jeep,Wrangler 2dr 4WD,Wrangler,2021
Porsche,911 Carrera 4 GTS Cabriolet,911,2022
Toyota,GR 86,GR 86,2024
Chevrolet,C10 Pickup 2WD,C10 Pickup,2013
Toyota,Yaris,Yaris,2013
Cadillac,CTS Wagon,CTS,2013
Rolls-Royce,Continental,Corniche/Continental,2013
Mazda,3 DI 5-Door,3,2013
Audi,S8,S8,2013
GMC,Yukon C1500 2WD,Yukon,2014
BMW,320i,3 Series,2014
Kia,Forte Koup,Forte,2016
Mercedes-Benz,S430,S-Class,2013
Toyota,4Runner 2WD,4Runner,2013
BMW,M3 Convertible,M,2013
Oldsmobile,Alero,Alero,2013
GMC,Sierra 1500 2WD,Sierra,2013
Ford,Bronco 4WD,Bronco,2013
Volvo,240 DL/GL/Turbo Wagon,240,2013
Mitsubishi,Truck 2WD,Truck,2013
Pontiac,Trans Sport 2WD,Trans Sport/Montana,2013
Mercury,Cougar,Cougar,2013
Bentley,Bentayga,Bentayga,2019
Lincoln,Nautilus AWD,Nautilus,2019
Mercedes-Benz,CLA250,CLA-Class,2021
Infiniti,QX60 FWD,QX60,2021
Audi,RS 5 Coupe,RS,2022
Dodge,Lancer,Lancer,2013
Chevrolet,Colorado 2WD,Colorado,2023
Kia,K5,K5,2024
Chevrolet,C1500 Pickup 2WD,C1500 Pickup,2013
Mazda,323/323 Protege,323 Protege,2013
Dodge,D250 Pickup 2WD,D250 Pickup,2013
GMC,G15/25 Vandura 2WD,Vandura,2013
BMW,540i,5 Series,2013
Saturn,SL,SL,2013
GMC,Safari AWD Conversion (cargo),Safari Cargo,2013
Mercedes-Benz,GLK350 4matic,GLK-Class,2014
Chevrolet,El Camino Pickup 2WD,El Camino Pickup,2013
Jeep,Renegade 4WD,Renegade,2015
Chevrolet,Avalanche 1500 4WD,Avalanche,2013
Suzuki,Grand Vitara 4WD,Grand Vitara,2013
Chevrolet,Cavalier,Cavalier,2013
Jeep,Grand Cherokee 4WD,Grand Cherokee,2013
Chevrolet,Van 15/25 2WD Conversion,Van 15/25 Conversion,2013
Acura,TSX,TSX,2013
Audi,A3 quattro,A3,2013
Mercedes-Benz,S63 AMG,S-Class,2013
Ferrari,F430,F430,2013
Isuzu,I-Mark,I-Mark,2013
Audi,5000S,5000,2013
Audi,Cabriolet,Cabriolet,2013
BMW,325i Convertible,3 Series,2013
Saab,9000,9000,2013
Mercury,Sable Wagon,Sable,2013
Chevrolet,Tahoe 1500 4WD,Tahoe,2013
Honda,Civic,Civic,2013
Mitsubishi,3000 GT,3000 GT,2013
Oldsmobile,Cutlass Cruiser Wagon,Cutlass Cruiser,2013
Saturn,SW,SW,2013
Dodge,Stratus,Stratus,2013
Volkswagen,Jetta Wagon,Jetta,2013
Porsche,911 Turbo,911,2013
Pontiac,Grand Am,Grand Am,2013
BMW,330i,3 Series,2016
Lexus,IS 300 AWD,IS,2016
Dodge,B150/B250 Wagon 2WD,B150/B250 Wagon,2013
Ford,F150 4WD BASE PAYLOAD LT TIRE,F150,2018
Ford,Bronco 4WD,Bronco,2013
Mercedes-Benz,GLC300 4matic Coupe,GLC-Class,2018
Volvo,V90 AWD,V90,2019
Ford,Edge FWD,Edge,2021
Mercedes-Benz,EQS 580 4matic,EQS,2021
Rivian,R1S Performance Dual Large (21in),R1S,2024
Nissan,Stanza,Stanza,2013
Isuzu,Rodeo 4WD,Rodeo,2013
Toyota,Corolla iM,Corolla,2016
Audi,Q3 quattro,Q3,2019
MINI,Cooper Hardtop 4 door,Cooper,2021
Audi,S5 Coupe,S5,2022
Porsche,Cayenne Turbo S e-Hybrid Coupe,Cayenne,2022
Dodge,Aries Wagon,Aries,2013
Dodge,Charger,Charger,2013
Hyundai,Elantra GT,Elantra,2013
Toyota,FJ Cruiser 4WD,FJ Cruiser,2013
Chevrolet,Monte Carlo,Monte Carlo,2013
GMC,Yukon XL K10 4WD,Yukon,2013
Volvo,V60 PoleStar AWD,V60,2014
smart,fortwo coupe,fortwo,2014
Infiniti,Q70,Q70,2014
MINI,Cooper Paceman,Paceman,2015
Chevrolet,Volt,Volt,2015
Plymouth,Voyager 2WD,Voyager,2013
Mazda,Protege,Protege,2013
Buick,Coachbuilder Wagon,Coachbuilder Wagon,2013
Subaru,Legacy AWD,Legacy/Outback,2013
Chrysler,Town and Country 2WD,Town and Country,2013
Jeep,Grand Cherokee 4WD,Grand Cherokee,2013
Lamborghini,DB132/Diablo,Diablo,2013
Porsche,911 Carrera 4,911,2013
Nissan,Altima,Altima,2013
Cadillac,CTS,CTS,2013
Infiniti,QX56 2WD,QX56,2013
Hyundai,Sonata,Sonata,2013
Chevrolet,Corvette,Corvette,2013
Infiniti,Q50S Hybrid AWD,Q50,2013
Chevrolet,Cavalier,Cavalier,2013
Honda,Civic 5Dr,Civic,2021
Subaru,Hatchback,Hatchback,2013
Toyota,Camry,Camry,2013
Plymouth,Sundance,Sundance,2013
Acura,Integra,Integra,2013
Chevrolet,Suburban C10 2WD,Suburban,2013
BMW,318i Convertible,3 Series,2013
Ford,Mustang,Mustang,2013
Volkswagen,Passat,Passat,2013
Volvo,850 Wagon,850,2013
Dodge,Ram 2500 Pickup 4WD,Ram 2500 Pickup,2013
Infiniti,QX4 4WD,QX4,2013
Lincoln,LS,LS,2013
Cadillac,Catera,Catera,2013
Ford,E250 Econoline 2WD,E250 Econoline,2013
Geo,Tracker Convertible 2WD,Tracker,2013
Mitsubishi,3000 GT,3000 GT,2013
Geo,Prizm,Prizm,2013
Hyundai,Elantra,Elantra,2013
Chevrolet,C1500 Pickup 2WD,C1500 Pickup,2013
Volkswagen,Eurovan Camper,Eurovan,2013
Mitsubishi,Montero Sport 4WD,Montero Sport,2013
Volkswagen,Passat Wagon,Passat,2013
Chevrolet,S10 Pickup 4WD,S10 Pickup,2013
Nissan,Pathfinder 4WD,Pathfinder,2013
Volvo,S40 FWD,S40,2013
Dodge,Ram 1500 Pickup 2WD,Ram 1500 Pickup,2013
Aston Martin,DB-7 Vantage Coupe,DB-7 Vantage,2013
Mercedes-Benz,S55 AMG,S-Class,2013
Dodge,Ram Van 1500 2WD,Ram Van 1500,2013
Lincoln,MKC AWD,MKC,2016
Lincoln,MKC AWD,MKC,2016
GMC,Sierra K15 4WD,Sierra,2016
Toyota,4Runner 4WD,4Runner,2016
MINI,Cooper S Clubman,Clubman,2017
Chevrolet,G10/20 Sport Van 2WD,G10/20 Van,2013
Kia,Forte Koup,Forte,2013
BMW,Alpina B7 SWB xDrive,7 Series,2013
Saab,9-5 Sedan AWD,9-5,2013
Chevrolet,Silverado C15 XFE 2WD,Silverado,2013
Mazda,6,6,2014
Kia,K900,K900,2014
Acura,TSX,TSX,2014
Kia,Forte Koup,Forte,2014
Jeep,Cherokee 4WD Active Drive II,Cherokee,2014
GMC,Sierra C15 Cab Chassis 2WD,Sierra,2014
Toyota,Truck 2WD,Truck/T100,2013
Land Rover,Range Rover Evoque,Range Rover,2015
MINI,Cooper S Countryman All4,Countryman,2015
Mitsubishi,Outlander Sport 4WD,Outlander,2016
Pontiac,Sunbird Convertible,Sunbird,2013
BMW,645ci Convertible,6 Series,2013
Dodge,Neon/SRT-4/SX 2.0,Neon/SRT-4/SX 2.0,2013
Chevrolet,Colorado 2WD,Colorado,2013
Nissan,Frontier V6 2WD,Frontier,2013
Toyota,Highlander 4WD,Highlander,2013
Mercedes-Benz,C320 FFV (Wagon),C-Class,2013
Chrysler,Crossfire Coupe,Crossfire,2013
Mercedes-Benz,E320 4matic,E-Class,2013
Toyota,Matrix,Matrix,2013
Dodge,Ram 1500 Pickup 2WD,Ram 1500 Pickup,2013
Toyota,4Runner 4WD,4Runner,2013
Ford,Escape Hybrid FWD,Escape,2013
Audi,A6 Avant quattro,A6,2013
Jeep,Wrangler 4WD,Wrangler,2013
Infiniti,G35x,G35,2013
Dodge,Dakota Pickup 2WD,Dakota Pickup,2013
Nissan,Titan 2WD,Titan,2013
BMW,128i Convertible,1 Series,2013
Buick,Somerset Regal,Somerset Regal,2013
Peugeot,505 Sedan,505,2013
Kia,EV9 Long Range RWD,EV9,2023
Mercedes-Benz,AMG SL43,SL-Class,2023
BMW,M440i Coupe,4 Series,2024
GMC,S15 Cab Chassis 2WD,S15 Cab Chassis,2013
Chevrolet,Corvette,Corvette,2013
Dodge,W250 Pickup 4WD,W250 Pickup,2013
Toyota,Tercel Wagon 4WD,Tercel,2013
Pontiac,Sunbird Convertible,Sunbird,2013
Geo,Storm,Storm,2013
Pontiac,Grand Prix,Grand Prix,2013
Ford,F150 Pickup 4WD,F150,2013
Dodge,Stealth,Stealth,2013
Ford,Expedition EL 4WD,Expedition,2015
Nissan,Sentra,Sentra,2016
Mercedes-Benz,AMG C43 4matic Coupe,C-Class,2016
Chevrolet,Corvette ZR1,Corvette,2018
Dodge,Shadow,Shadow,2013
GMC,Yukon 2WD,Yukon,2021
Mazda,3 4-Door 4WD,3,2022
Genesis,G70 AWD,G70,2022
GMC,Sierra 2WD,Sierra,2022
GMC,Sierra 4WD,Sierra,2022
Mitsubishi,Truck 2WD,Truck,2013
Ford,Expedition 4WD FFV,Expedition,2013
Mercedes-Benz,GLK350 4matic,GLK-Class,2014
Nissan,Sentra,Sentra,2015
Ford,F150 Pickup 2WD,F150,2013
Chevrolet,Express 2500 2WD Passenger,Express Passenger,2016
GMC,Safari 2WD (passenger),Safari,2013
Mitsubishi,Mirage,Mirage,2013
Federal Coach,Lincoln 85J,Lincoln 85J,2013
Mitsubishi,Galant,Galant,2013
Toyota,Camry Solara,Camry,2013
BMW,X7 M60i xDrive,X7,2023
Toyota,Grand Highlander Hybrid,Grand Highlander,2023
Audi,Q8 e-tron quattro,Q8 e-tron,2023
Toyota,Camry AWD XLE/XSE,Camry,2023
Honda,Clarity FCV,Clarity,2022
Fiat,500e,500e,2018
Chevrolet,Equinox AWD,Equinox,2018
Cadillac,Escalade 4WD,Escalade,2020
Toyota,Tercel,Tercel,2013
Chevrolet,Corvette,Corvette,2013
Ford,Taurus FWD,Taurus,2013
BMW,Z4 sDrive35i,Z4,2013
Nissan,Sentra,Sentra,2013
Infiniti,Q60,Q60,2014
Hyundai,Veloster,Veloster,2015
Subaru,Forester AWD,Forester,2013
Volkswagen,Quantum,Quantum,2013
Ford,F150 Pickup 2WD,F150,2013
Toyota,Sequoia 4WD,Sequoia,2013
Cadillac,CTS Wagon,CTS,2013
Chevrolet,Camaro,Camaro,2013
Renault,18i,18i/Wagon/Sportwagon,2013
Nissan,Stanza Wagon 4WD,Stanza,2013
Chevrolet,C1500 Pickup 2WD,C1500 Pickup,2013
Land Rover,Range Rover County,Range Rover,2013
Nissan,Truck 2WD,Truck,2013
Ford,Windstar FWD Wagon,Windstar,2013
Mercedes-Benz,C36 AMG,C-Class,2013
Ford,Ranger Pickup 4WD,Ranger,2013
Lincoln,Navigator 4WD,Navigator,2013
Dodge,Caravan/Grand Caravan 2WD,Caravan/Grand Caravan,2013
Volkswagen,GTI,Golf/GTI,2013
Dodge,Ram Wagon 1500 2WD,Ram Wagon 1500,2013
Lexus,LS 430,LS,2013
Porsche,Targa Kit,Targa,2013
Chevrolet,Camaro,Camaro,2016
Toyota,Prius,Prius,2016
Lexus,ES 300h,ES,2016
Chevrolet,Astro 2WD (cargo),Astro Cargo,2013
BMW,750i,7 Series,2017
Chevrolet,Tahoe K1500 4WD,Tahoe,2019
Alfa Romeo,Giulia,Giulia,2019
Mercedes-Benz,CLA250,CLA-Class,2020
Porsche,Panamera Turbo S/Exec/ST,Panamera,2021
Nissan,Z,Z,2022
Mercedes-Benz,"Metris (Cargo Van, LWB)",Metris Cargo,2022
Porsche,911 Carrera 4 Cabriolet,911,2022
GMC,Sierra 2WD,Sierra,2023
Mercedes-Benz,G550,G-Class,2023
Volkswagen,Vanagon/Camper 2WD,Vanagon,2013
Volkswagen,Golf,Golf/GTI,2013
Chevrolet,Corvette,Corvette,2013
Isuzu,Amigo 2WD,Amigo,2013
Oldsmobile,Cutlass Cruiser,Cutlass Cruiser,2013
Mazda,B2000/B2200/B2600,B Pickup,2013
Porsche,911 Turbo Cabriolet,911,2013
Honda,Odyssey,Odyssey,2013
Ferrari,458 Italia Coupe,458 Italia,2013
Porsche,911 Carrera S,911,2013
BMW,ActiveHybrid 7L,7 Series,2013
Ram,1500 2WD,1500,2013
Lincoln,Navigator 4WD FFV,Navigator,2013
Dodge,Dart,Dart,2014
Porsche,911 GT3,911,2015
Ford,Mustang Convertible,Mustang,2015
Honda,Civic Hybrid,Civic,2013
Volvo,V70 R AWD,V70,2013
Pontiac,Vibe AWD,Vibe,2013
Pontiac,Bonneville,Bonneville,2013
Dodge,Dakota Pickup 4WD,Dakota Pickup,2013
Mercury,Lynx Wagon,Lynx,2013
Plymouth,Reliant Wagon,Reliant,2013
Toyota,Camry,Camry,2013
Volvo,V70 FWD,V70,2013
Saleen Performance,F150 Supercharged,F150 Supercharged,2013
BMW,550i,5 Series,2013
Oldsmobile,Toronado,Toronado,2013
Porsche,911 Carrera 4/2,911,2013
Rolls-Royce,Continental,Corniche/Continental,2013
Dodge,Dakota Pickup 2WD,Dakota Pickup,2013
Ford,F150 Pickup 2WD,F150,2013
BMW,318i/318is,3 Series,2013
Volvo,S80,S80,2013
Audi,A6 Avant quattro,A6,2013
Toyota,Corolla,Corolla,2013
Jaguar,F-Pace,F-Pace,2017
Hyundai,Elantra Coupe,Elantra,2013
Cadillac,Eldorado,Eldorado,2013
Chevrolet,Silverado C15 2WD,Silverado,2014
Lexus,CT 200h,CT,2014
Scion,FR-S,FR-S,2015
Porsche,Boxster,Boxster,2015
Chevrolet,Camaro,Camaro,2015
Volvo,S60 AWD,S60,2016
Chrysler,Sebring,Sebring,2013
Pontiac,Vibe,Vibe,2013
Oldsmobile,Cutlass Ciera,Cutlass Ciera,2013
BMW,M6,M,2013
Saturn,SKY,SKY,2013
Mitsubishi,Raider Pickup 2WD,Raider Pickup,2013
Jeep,Liberty 4WD,Liberty,2013
Infiniti,M45x,M45,2013
Ford,F150 Pickup 2WD,F150,2013
GMC,T15 (S15) Jimmy 4WD,Jimmy,2013
Pontiac,Trans Sport 2WD,Trans Sport/Montana,2013
Subaru,XT 4WD,XT,2013
Nissan,Sentra/200SX,Sentra/200SX,2013
Ford,Probe,Probe,2013
Toyota,Corolla,Corolla,2013
Isuzu,Rodeo 4WD,Rodeo,2013
Chevrolet,Pickup 2500 2WD,Pickup 2500,2013
Audi,A8 quattro,A8,2013
Hyundai,Elantra,Elantra,2013
Chevrolet,Cavalier Convertible,Cavalier,2013
Infiniti,QX4 2WD,QX4,2013
Rivian,R1S 22 inch Dual Large,R1S,2023
Honda,Civic Wagon,Civic,2013
Jeep,CJ7 4WD,CJ,2013
Porsche,911 Carrera,911,2013
BMW,328ci Convertible,3 Series,2013
Buick,Regal,Regal,2013
Dodge,Durango 2WD,Durango,2013
Mercury,Cougar,Cougar,2013
Ford,Edge FWD,Edge,2013
BMW,528i xDrive,5 Series,2013
Kia,Sportage FWD,Sportage,2019
Tesla,Model 3 Long Range Performance AWD (19in),Model 3,2019
Mercedes-Benz,AMG CLA35 4matic,CLA-Class,2020
Porsche,718 Cayman GTS,718,2020
BMW,7 Series,7 Series,2013
Ford,Ranger Pickup 4WD,Ranger,2013
Chevrolet,Blazer 4WD,Blazer,2013
BMW,Z4 Roadster,Z4,2013
Lotus,Elise/exige,Elise/exige,2013
Jeep,Grand Cherokee 4WD,Grand Cherokee,2013
Kia,Sportage 4WD,Sportage,2013
Volvo,S60 R AWD,S60,2013
Pontiac,G3 Wave 5,G3,2013
BMW,650ci,6 Series,2013
Mercury,Milan AWD FFV,Milan,2013
Buick,Enclave FWD,Enclave,2013
Porsche,Cayenne Turbo S,Cayenne,2013
Volkswagen,Rabbit,Rabbit,2013
Volkswagen,Quantum Wagon,Quantum,2013
Ford,E150 Club Wagon,E150 Club Wagon,2013
Jaguar,XJS V12 Coupe,XJS,2013
Dodge,Dakota Pickup 2WD,Dakota Pickup,2013
Ford,Thunderbird,Thunderbird,2013
Ford,E150 Club Wagon,E150 Club Wagon,2013
Pontiac,Sunbird,Sunbird,2013
Mazda,626,626,2013
Chevrolet,Cavalier Wagon,Cavalier,2013
Mazda,B2500/B3000/B4000 2WD,B Pickup,2013
Mitsubishi,Montero,Montero,2013
Chevrolet,Impala,Impala,2013
Ford,Focus,Focus,2013
Jeep,Comanche 2WD,Comanche,2013
Audi,Q3 quattro,Q3,2016
Jeep,Comanche 4WD,Comanche,2013
Dodge,Charger AWD,Charger,2016
Dodge,B150/B250 Van 2WD,B150/B250 Van,2013
Kia,Soul,Soul,2017
Ford,Expedition MAX 4WD,Expedition,2017
Mercury,Topaz,Topaz,2013
Chevrolet,Silverado C15 2WD,Silverado,2013
Hyundai,Accent,Accent,2013
Mercury,Lynx,Lynx,2013
Audi,S6,S6,2013
BMW,M4 Convertible,M,2014
Hyundai,Elantra,Elantra,2015
Nissan,NV200 NYC Taxi,NV200 NYC Taxi,2015
Porsche,911 Carrera 4S,911,2015
Audi,TT Roadster quattro,TT Roadster,2015
Scion,tC,tC,2015
Chevrolet,S10 Blazer 2WD,Blazer,2013
Ram,1500 2WD,1500,2018
Jeep,Wrangler 4WD,Wrangler,2018
BMW,M850i xDrive Convertible,8 Series,2018
Mitsubishi,Outlander PHEV,Outlander,2018
Jeep,Renegade 2WD,Renegade,2019
Kia,Sorento AWD,Sorento,2019
Porsche,Panamera 4S ST,Panamera,2019
Aston Martin,Vantage V12,Vantage,2022
Mercedes-Benz,GLA250,GLA-Class,2022
Nissan,Pathfinder 2WD,Pathfinder,2013
Ford,Focus Station Wagon,Focus,2013
GMC,Safari 2WD (Passenger),Safari Passenger,2013
BMW,645ci Convertible,6 Series,2013
Mercedes-Benz,CLK320,CLK-Class,2013
Infiniti,G35,G35,2013
Mercedes-Benz,SLK280,SLK-Class,2013
Porsche,Carrera 2 Coupe,Carrera 2 Coupe,2013
Dodge,Caravan/Grand Caravan 2WD,Caravan/Grand Caravan,2013
Hyundai,Tucson 4WD,Tucson,2013
Chevrolet,Colorado 4WD,Colorado,2013
Isuzu,i-370 Crew Cab 4WD,i-370 Crew Cab,2013
Chrysler,Pacifica AWD,Pacifica,2013
Volkswagen,Touareg,Touareg,2013
Suzuki,XL7 FWD,XL7,2013
Porsche,911 Turbo,911,2013
Dodge,Colt,Colt,2013
Isuzu,Impulse,Impulse,2013
Ford,LTD Crown Victoria,LTD Crown Victoria,2013
Toyota,Van 2WD,Van,2013
Chevrolet,Cavalier,Cavalier,2013
Dodge,B150/B250 Wagon 2WD,B150/B250 Wagon,2013
Chevrolet,Sport Van G10/20 2WD,Sport Van,2013
Toyota,Tercel,Tercel,2013
Ferrari,550 Maranello/Barchetta,550 Maranello/Barchetta,2013
Subaru,Legacy AWD,Legacy/Outback,2013
Acura,RSX,RSX,2013
Chevrolet,Blazer 2WD,Blazer,2013
MINI,Cooper Hardtop 2 door,Cooper,2023
Nissan,Z,Z,2023
Chevrolet,S10 Cab Chassis 2WD,S10 Cab Chassis,2013
Ford,EXP,EXP,2013
Kia,Optima Hybrid,Optima,2019
Buick,Regal AWD,Regal,2019
Tesla,Model S Standard Range,Model S,2019
Audi,A5 Cabriolet quattro,A5,2019
Buick,Skylark,Skylark,2013
