plant_common_name,plant_family,plant_scientific_name
Mt. Hood Pussypaws,Portulacaceae,Cistanthe umbellata (Torr.) Hershkovitz var. caudicifera (A. Gray) Kartesz & Gandhi
Eggyolk Lichen,Candelariaceae,Candelariella plumbea Poelt & Vezda
Wilkins' Bellflower,Campanulaceae,Campanula wilkinsiana Greene
'aiakanene,Rubiaceae,Coprosma ernodeoides A. Gray
Trailing Abutilon,Malvaceae,Abutilon megapotamicum (A. Spreng.) A. St.-Hil. & Naudin
Bellflower,Campanulaceae,Codonopsis pilosula (Franch.) Nannf.
Cheskeam,Simaroubaceae,Samadera indica Gaertn.
Pore Lichen,Pertusariaceae,Pertusaria excludens Nyl.
Pore Lichen,Pertusariaceae,Pertusaria octomela (Norman) Erichsen
Velvet Lichen,Uncertain Ascomycota Family,Cystocoleus ebeneus (Dillwyn) Thwaites
Silky Deerweed,Fabaceae,Lotus procumbens (Greene) Greene
Rubber Rabbitbrush,Asteraceae,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. nauseosa var. glareosa (M.E. Jones) G.L. Nesom & Baird
Menker's Lupine,Fabaceae,Lupinus nanus Douglas ex Benth. ssp. menkerae (C.P. Sm.) D. Dunn
Clay Hill Buckwheat,Polygonaceae,Eriogonum viridulum Reveal
Mt. Tamalpais Jewelflower,Brassicaceae,Streptanthus batrachopus J.L. Morrison
Menzies' Campion,Caryophyllaceae,Silene menziesii Hook. ssp. williamsii (Britton) Hultén
Shaggyfruit Pepperweed,Brassicaceae,Lepidium lasiocarpum Nutt.
Parásita,Bromeliaceae,Tillandsia polystachia (L.) L.
Neoparrya,Apiaceae,Neoparrya Mathias
Bud Saxifrage,Saxifragaceae,Saxifraga bryophora A. Gray var. bryophora
Marsh Thistle,Asteraceae,Cirsium palustre (L.) Scop.
Treebine,Vitaceae,Cissus L.
Yakutsk Draba,Brassicaceae,Draba pseudopilosa Pohle
Wulfen's Lecidella Lichen,Lecanoraceae,Lecidella wulfenii (Hepp) Körb.
Spike Lichen,Caliciaceae,Calicium hyperelloides Nyl.
Alphitonia,Rhamnaceae,Alphitonia Reissek ex Endl.
Hairystem Dwarf Rush,Juncaceae,Juncus capillaris F.J. Herm.
Trotter's Alpineparsley,Apiaceae,Oreoxis trotteri S.L. Welsh & Goodrich
Frosted Lichen,Physciaceae,Physconia perisidiosa (Erichsen) Moberg
Heufler's Cracked Lichen,Acarosporaceae,Acarospora heufleriana Körb.
Streambank Flowering Fern,Anemiaceae,Anemia hirta (L.) Sw.
Mint Vervain,Verbenaceae,Verbena menthifolia Benth.
Green And Gold,Asteraceae,Chrysogonum virginianum L. var. virginianum
Acrocordia Lichen,Monoblastiaceae,Acrocordia cavata (Ach.) R.C. Harris
Vahl's Alkaligrass,Poaceae,Puccinellia vahliana (Liebm.) Scribn. & Merr.
Desert Willow,Bignoniaceae,Chilopsis linearis (Cav.) Sweet ssp. arcuata (Fosberg) Henrickson
Pinewoods Fingergrass,Poaceae,Eustachys petraea (Sw.) Desv.
Cardenala Azul,Campanulaceae,Lobelia cliffortiana L.
Sweetpotato Cactus,Cactaceae,Cereus Mill.
Thurber's Indian Mallow,Malvaceae,Abutilon thurberi A. Gray
Orcutt's Linanthus,Polemoniaceae,Linanthus orcuttii (Parry & A. Gray) Jeps.
Hygroamblystegium Moss,Amblystegiaceae,Hygroamblystegium tenax (Hedw.) Jenn. var. spinifolium (Schimp.) Jenn.
Dot Lichen,Arthoniaceae,Arthonia pinastri Anzi
San Pedro Ticktrefoil,Fabaceae,Desmodium batocaulon A. Gray
Salty Buckwheat,Polygonaceae,Stenogonum salsuginosum Nutt.
Silvergreen Bryum Moss,Bryaceae,Bryum argenteum Hedw.
Pyramid Magnolia,Magnoliaceae,Magnolia pyramidata W. Bartram
Southern Milkweed,Asclepiadaceae,Asclepias viridula Chapm.
Radishroot Woodsorrel,Oxalidaceae,Oxalis albicans Kunth
Ozark Melon,Cucurbitaceae,Cucurbita pepo L. var. ozarkana D. Decker
Matted Lupine,Fabaceae,Lupinus breweri A. Gray var. grandiflorus C.P. Sm.
Yellow Bloodwood,Myrtaceae,Corymbia eximia (Schauer) K.D. Hill & L.A.S. Johnson
Southern Mexican Sage,Lamiaceae,Salvia disjuncta Fernald
Purple Sedge,Cyperaceae,Carex purpurifera Mack.
Bristly Oxtongue,Asteraceae,Picris echioides L.
Recurved Blackberry,Rosaceae,Rubus recurvans Blanch.
Spring Blue Eyed Mary,Scrophulariaceae,Collinsia verna Nutt.
Sessileleaf Ticktrefoil,Fabaceae,Desmodium sessilifolium (Torr.) Torr. & A. Gray
Sand Bluestem,Poaceae,Andropogon hallii Hack.
Cockleshell Lichen,Lecideaceae,Hypocenomyce castaneocinerea (Rasanen) Timdal
Aridland Stopper,Myrtaceae,Eugenia xerophytica Britton
Phyllopsora Lichen,Bacidiaceae,Phyllopsora confusa Swinscow & Krog
Coulter's Snapdragon,Scrophulariaceae,Sairocarpus coulterianus (Benth. ex A. DC.) D.A. Sutton
Eryngo,Apiaceae,Eryngium creticum Lam.
Mill Creek Alumroot,Saxifragaceae,Heuchera parishii Rydb.
Honeywort,Boraginaceae,Cerinthe L.
Pinewoods Horkelia,Rosaceae,Horkelia fusca Lindl. ssp. tenella (S. Watson) D.D. Keck
Hummingbird Trumpet,Onagraceae,Epilobium canum (Greene) P.H. Raven ssp. latifolium (Hook.) P.H. Raven
Brewer's Navarretia,Polemoniaceae,Navarretia breweri (A. Gray) Greene
Ozark Hawthorn,Rosaceae,Crataegus insidiosa Beadle
Phlox,Polemoniaceae,Phlox L.
Conejo Dudleya,Crassulaceae,Dudleya abramsii Rose ssp. parva (Rose & Davidson) Bartel
Forked Nightshade,Solanaceae,Solanum furcatum Dunal ex Poir.
Green Flatsedge,Cyperaceae,Cyperus virens Michx.
Prairie Clover,Fabaceae,Dalea L.
Brothera Moss,Dicranaceae,Brothera Müll. Hal.
Kauai Cheesewood,Pittosporaceae,Pittosporum kauaiense Hillebr.
Senna,Fabaceae,Senna Mill.
Coastal Sage Scrub Oak,Fagaceae,Quercus dumosa Nutt.
Beardgrass,Poaceae,Bothriochloa Kuntze
Eccremocactus,Cactaceae,Eccremocactus Britton & Rose
Eggyolk Lichen,Candelariaceae,Candelariella subdeflexa (Nyl.) Lettau
Ascending Wild Basil,Lamiaceae,Clinopodium ascendens (Jord.) Samp.
Scarletfruit Passionflower,Passifloraceae,Passiflora foetida L. var. lanuginosa Killip
Tomentose Mountain-avens,Rosaceae,Dryas drummondii Richardson ex Hook. var. tomentosa (Farr) L.O. Williams
Cottonwood,Salicaceae,Populus ×heimburgeri B. Boivin
Bhutan Pine,Pinaceae,Pinus wallichiana A.B. Jacks.
Dactylospora Lichen,Dactylosporaceae,Dactylospora saxatilis (Schaerer) Hafellner var. saxatilis
Koerberia Lichen,Placynthiaceae,Koerberia biformis A. Massal.
Porter's Reedgrass,Poaceae,Calamagrostis porteri A. Gray ssp. insperata (Swallen) C.W. Greene
Manyawn Pricklyleaf,Asteraceae,Thymophylla aurea (A. Gray) Greene ex Britton
Munj Sweetcane,Poaceae,Saccharum bengalense Retz.
Hawthorn,Rosaceae,Crataegus ×pilosa Sarg. (pro sp.)
Beard Lichen,Parmeliaceae,Usnea longissima Ach. var. corticata R. Howe
Giant Rhubarb,Gunneraceae,Gunnera manicata Linden
Whitecolumn Foxtail Cactus,Cactaceae,Escobaria tuberculosa var. tuberculosa (Engelm.) Britton & Rose
Tamarisk Thuidium Moss,Thuidiaceae,Thuidium tamariscinum (Hedw.) Schimp.
Giant Vine Fern,Blechnaceae,Stenochlaena tenuifolia (Desv.) T. Moore
Rim Lichen,Lecanoraceae,Lecanora varia (Hoffm.) Ach.
Woollyhead Lessingia,Asteraceae,Lessingia hololeuca Greene
Norwegian Arctic Cudweed,Asteraceae,Omalotheca norvegica (Gunnerus) Schultz-Bipontinus & F.W. Schultz
Spike Lichen,Caliciaceae,Calicium Pers.
Woodland Passionflower,Passifloraceae,Passiflora morifolia Masters
Rye Sedge,Cyperaceae,Carex secalina Willd. ex Wahlenb.
Redblotch Tufted Orchid,Orchidaceae,Jacquiniella globosa (Jacq.) Schltr.
Cockspur Pricklypear,Cactaceae,Opuntia pusilla (Haw.) Haw.
Scaly Blazing Star,Asteraceae,Liatris squarrosa (L.) Michx. var. squarrosa
Showy Medinilla,Melastomataceae,Medinilla magnifica Lindl.
Shieldplant,Brassicaceae,Streptanthus tortuosus Kellogg var. suffrutescens (Greene) Jeps.
Australasian Geranium,Geraniaceae,Geranium homeanum Turcz.
Golden Hala Pepe,Liliaceae,Pleomele aurea (H. Mann) N.E. Br.
Intermediate Suncup,Onagraceae,Camissonia intermedia P.H. Raven
Garbancillo,Zygophyllaceae,Peganum mexicanum A. Gray
Small-leaf Squarestem,Asteraceae,Melanthera parvifolia Small
Perfumed Passionflower,Passifloraceae,Passiflora vitifolia Kunth
Arizona Muhly,Poaceae,Muhlenbergia arizonica Scribn.
Greene's Milkvetch,Fabaceae,Astragalus flexuosus Douglas ex G. Don var. greenei (A. Gray) Barneby
Alpine Slender Buckwheat,Polygonaceae,Eriogonum microthecum Nutt. var. alpinum Reveal
Argus' Willow,Salicaceae,Salix ×argusii B. Boivin
Kenai Birch,Betulaceae,Betula papyrifera Marshall var. kenaica (W.H. Evans) A. Henry
Plum Pine,Podocarpaceae,Podocarpus L'Hér. ex Pers.
Broad Looseflower Sedge,Cyperaceae,Carex laxiflora Lam. var. serrulata F.J. Herm.
Cardinal Catchfly,Caryophyllaceae,Silene laciniata Cav. ssp. major C.L. Hitchc. & Maguire
Violet,Violaceae,Viola L.
Southern Red Oak,Fagaceae,Quercus falcata Michx.
Shellplant,Zingiberaceae,Alpinia zerumbet (Pers.) B.L. Burtt & R.M. Sm.
Yellow Wild Indigo,Fabaceae,Baptisia sphaerocarpa Nutt.
Missouri Cliffbrake,Pteridaceae,Pellaea glabella Mett. ex Kuhn ssp. missouriensis (Gastony) Windham
Cup Lichen,Cladoniaceae,Cladonia ochrochlora Flörke
Pondweed,Potamogetonaceae,Potamogeton ×faxonii Morong (pro sp.)
Sierra Brookfoam,Saxifragaceae,Boykinia intermedia (Piper) G.N. Jones
Drooping Star Of Bethlehem,Liliaceae,Ornithogalum nutans L.
Common Threesquare,Cyperaceae,Schoenoplectus pungens (Vahl) Palla var. badius (J. Presl & C. Presl) S.G. Sm.
Maiden Fern,Thelypteridaceae,Thelypteris ×rolandii (C. Chr.) R. Tryon
Pygmy Fameflower,Portulacaceae,Phemeranthus brevifolius (Torr.) Hershkovitz
Hawai'i Blacksnakeroot,Apiaceae,Sanicula sandwicensis A. Gray
Brittlebush,Asteraceae,Encelia Adans.
Ale,Plantaginaceae,Plantago princeps Cham. & Schltdl. var. longibracteata H. Mann
Caddo False Foxglove,Scrophulariaceae,Agalinis caddoensis Pennell
Hybrid Ladyslipper,Orchidaceae,Cypripedium ×andrewsii A.M. Fuller var. landonii (Garay) B. Boivin (pro nm.)
Southern Globethistle,Asteraceae,Echinops ritro L. ssp. ruthenicus (M. Bieb.) Nyman
Cabellos De Angel,Ranunculaceae,Clematis dioica L.
Alakai Swamp Violet,Violaceae,Viola wailenalenae (Rock) Skottsb.
Tall Buckwheat,Polygonaceae,Eriogonum tenellum Torr. var. tenellum
Big Galleta,Poaceae,Pleuraphis rigida Thurb.
Uluhe,Gleicheniaceae,Dicranopteris emarginata (T. Moore) W.J. Rob. var. emarginata
Mexican Crinklemat,Boraginaceae,Tiquilia mexicana (S. Watson) A.T. Richardson
Orange Wall Lichen,Teloschistaceae,Xanthoria parietina (L.) Th. Fr.
Palmgrass,Poaceae,Setaria palmifolia (J. Koenig) Stapf
Scallopleaf Sage,Lamiaceae,Salvia vaseyi (Porter) Parish
Purple False Gilyflower,Polemoniaceae,Allophyllum divaricatum (Nutt.) A.D. Grant & V.E. Grant
Canadian Anemone,Ranunculaceae,Anemone canadensis L.
Slender Popcornflower,Boraginaceae,Plagiobothrys tener (Greene) I.M. Johnst. var. tener
Drooping Bulrush,Cyperaceae,Scirpus lineatus Michx.
Madagascar Crabgrass,Poaceae,Digitaria milanjiana (Rendle) Stapf
Winged Sandpuffs,Nyctaginaceae,Tripterocalyx carneus (Greene) L.A. Galloway var. carneus
Piedmont Mock Bishopweed,Apiaceae,Ptilimnium nodosum (Rose) Mathias
Parish's Needlegrass,Poaceae,Achnatherum parishii (Vasey) Barkworth var. parishii
Gander's Cryptantha,Boraginaceae,Cryptantha ganderi I.M. Johnst.
Lorent's Goatgrass,Poaceae,Aegilops lorentii Hochst.
Astrothelium Lichen,Trypetheliaceae,Astrothelium galbineum Krempelh.
Miquel's Spicywintergreen,Ericaceae,Gaultheria miqueliana Takeda
Oahu Gardenia,Rubiaceae,Gardenia mannii H. St. John & Kuykend.
Spiny Hedgehog Cactus,Cactaceae,Echinocereus dasyacanthus Engelm.
Greater Marsh St. Johnswort,Clusiaceae,Triadenum walteri (J.G. Gmel.) Gleason
Chamaelirium,Liliaceae,Chamaelirium Willd.
Dot Lichen,Arthoniaceae,Arthonia tetramera (Stizenb.) Hasse
Desert Gooseberry,Grossulariaceae,Ribes velutinum Greene
Liana De Cuello,Bignoniaceae,Amphilophium paniculatum (L.) Kunth
Yerba De Hicotea,Acanthaceae,Hygrophila costata Nees
Laetia,Flacourtiaceae,Laetia Loefl. ex L.
Panamint Princesplume,Brassicaceae,Stanleya elata M.E. Jones
Manchineel Berry,Euphorbiaceae,Euphorbia petiolaris Sims
Megalospora Lichen,Megalosporaceae,Megalospora pachycheila (Tuck.) Sipman
Cracked Lichen,Acarosporaceae,Acarospora sinopica (Wahlenb.) Körb.
White Mountain Sedge,Cyperaceae,Carex geophila Mack.
Threelocule Corchorus,Tiliaceae,Corchorus trilocularis L.
Hastings Oak,Fagaceae,Quercus ×hastingsii Sarg.
Wislizenia,Capparaceae,Wislizenia Engelm.
Brasiletto,Fabaceae,Caesalpinia violacea Standl.
Winged Dock,Polygonaceae,Rumex spiralis Small
Curtiss' Milkwort,Polygalaceae,Polygala curtissii A. Gray
Splitleaf Cyanea,Campanulaceae,Cyanea grimesiana Gaudich. ssp. grimesiana
Alpine Golden Buckwheat,Polygonaceae,Eriogonum flavum Nutt.
Brush Cherry,Myrtaceae,Syzygium paniculatum Gaertn.
Fern Flatsedge,Cyperaceae,Cyperus filicinus Vahl
Perennial Horsegram,Fabaceae,Macrotyloma axillare (E. Mey.) Verdc. var. axillare
Tansy Pepperweed,Brassicaceae,Lepidium pinnatisectum (O.E. Schulz) C.L. Hitchc.
Haresfoot Locoweed,Fabaceae,Oxytropis lagopus Nutt. var. conjugans Barneby
Hybrid Blazing Star,Asteraceae,Liatris ×freemaniana J. Allison
Woolly Meadowfoam,Limnanthaceae,Limnanthes floccosa Howell ssp. bellingeriana (M. Peck) Arroyo
Yukon Lupine,Fabaceae,Lupinus kuschei Eastw.
Blytt's Calcareous Moss,Mniaceae,Mnium blyttii Bruch & Schimp.
Spreading Sandwort,Caryophyllaceae,Arenaria lanuginosa (Michx.) Rohrb. ssp. lanuginosa var. lanuginosa
Intermountain Bedstraw,Rubiaceae,Galium serpenticum Dempster ssp. wenatchicum Dempster & Ehrend.
Virginia Strawberry,Rosaceae,Fragaria virginiana Duchesne ssp. grayana (Vilm. ex J. Gay) Staudt
Crownvetch,Fabaceae,Securigera DC.
Vetivergrass,Poaceae,Vetiveria zizanioides (L.) Nash
Davis Horsenettle,Solanaceae,Solanum davisense M.D. Whalen
Honolulu Lacefern,Dryopteridaceae,Ctenitis honolulensis (Hook.) Copeland
Rockdwelling Sedge,Cyperaceae,Carex petricosa Dewey
Polunin's Rim Lichen,Lecanoraceae,Lecanora poluninii Lynge
Rocky Mountain Maple,Aceraceae,Acer glabrum Torr. var. glabrum
Gulf Cockspur Grass,Poaceae,Echinochloa crus-pavonis (Kunth) Schult. var. macera (Wiegand) Gould
Queen Of The Night,Cactaceae,Selenicereus grandiflorus (L.) Britton & Rose
Sapote,Rutaceae,Casimiroa Llave & Lex.
Hydrilla,Hydrocharitaceae,Hydrilla Rich.
Showy Greenbright,Scrophulariaceae,Gambelia speciosa Nutt.
Domingo Erpodium Moss,Erpodiaceae,Erpodium domingense (Spreng.) Brid. ex Müll. Hal.
Spilanthes,Asteraceae,Spilanthes Jacq.
Narrowleaf Silkgrass,Asteraceae,Pityopsis graminifolia (Michx.) Nutt. var. tenuifolia (Torr.) Semple & F.D. Bowers
Chapman's Butterwort,Lentibulariaceae,Pinguicula planifolia Chapm.
Dilomilis,Orchidaceae,Dilomilis Raf.
Pearly Globe Amaranth,Amaranthaceae,Gomphrena nitida Rothr.
Baker's Hawksbeard,Asteraceae,Crepis bakeri Greene ssp. bakeri
Glandular Maiden Fern,Thelypteridaceae,Thelypteris decussata (L.) Proctor
Little Millet,Poaceae,Panicum sumatrense Roth ex Roem. & Schult.
Cottony Goldenaster,Asteraceae,Chrysopsis gossypina (Michx.) Elliott ssp. gossypina
Kaibab Suncup,Onagraceae,Camissonia specuicola (P.H. Raven) P.H. Raven
Paleyellow Suncup,Onagraceae,Camissonia pallida (Abrams) P.H. Raven
Wissadula,Malvaceae,Wissadula Medik.
Mountain Dubautia,Asteraceae,Dubautia menziesii (A. Gray) D.D. Keck
Elongate Dropseed,Poaceae,Sporobolus elongatus R. Br.
Yellow Twining Snapdragon,Scrophulariaceae,Neogaerrhinum filipes (A. Gray) Rothm.
Table Townsend Daisy,Asteraceae,Townsendia mensana M.E. Jones
Laurent's Cliff Fern,Dryopteridaceae,Woodsia scopulina D.C. Eaton ssp. laurentiana Windham
Arizona Madrone,Ericaceae,Arbutus arizonica (A. Gray) Sarg.
Twinleaf Senna,Fabaceae,Senna bauhinioides (A. Gray) Irwin & Barneby
Pineland Dwarf Mistletoe,Viscaceae,Arceuthobium vaginatum (Willd.) J. Presl
Sargent's Hawthorn,Rosaceae,Crataegus sargentii Beadle
Padron's Bristle Fern,Hymenophyllaceae,Trichomanes padronii Proctor
Shortawn Foxtail,Poaceae,Alopecurus aequalis Sobol. var. aequalis
Acaulon Moss,Pottiaceae,Acaulon muticum (Hedw.) Müll. Hal.
Herbaceous Glorytree,Melastomataceae,Tibouchina herbacea (DC.) Cogn.
Fuzzy Mock Orange,Hydrangeaceae,Philadelphus tomentosus Royle
Flat-top Broomrape,Orobanchaceae,Orobanche corymbosa (Rydb.) Ferris ssp. corymbosa
Wild Comfrey,Boraginaceae,Cynoglossum virginianum L. var. virginianum
Ricegrass,Poaceae,Oryzopsis holciformis (M. Bieb.) Hack.
Zornia,Fabaceae,Zornia J.F. Gmel.
Elaeocarpus,Elaeocarpaceae,Elaeocarpus L.
Olomea,Celastraceae,Perrottetia sandwicensis A. Gray
Common Grape Hyacinth,Liliaceae,Muscari botryoides (L.) Mill.
Stigmidium Lichen,Mycosphaerellaceae,Stigmidium marinum (Deakin) Swinscow
Eggleaf Spurge,Euphorbiaceae,Euphorbia oblongata Griseb.
Oneseed Juniper,Cupressaceae,Juniperus monosperma (Engelm.) Sarg.
Wart Lichen,Pyrenulaceae,Pyrenula aquila R.C. Harris
Stalked Saltbush,Chenopodiaceae,Atriplex argentea Nutt. ssp. argentea var. caput-medusae (Eastw.) Fosberg
Parashant Woodyaster,Asteraceae,Xylorhiza tortifolia (Torr. & A. Gray) Greene var. parashantensis N.D. Atwood & S.L. Welsh
Chiodecton Lichen,Opegraphaceae,Chiodecton Ach.
Purple Locoweed,Fabaceae,Oxytropis lambertii Pursh var. bigelovii A. Gray
Sonoran Brickellbush,Asteraceae,Brickellia simplex A. Gray
Dwarf Checkerbloom,Malvaceae,Sidalcea sparsifolia (C.L. Hitchc.) S.R. Hill
Fewflower Buckwheat,Polygonaceae,Eriogonum pauciflorum Pursh
Shrubby Copperleaf,Euphorbiaceae,Acalypha phleoides Cav.
Jones' Linanthus,Polemoniaceae,Linanthus jonesii (A. Gray) Greene
Elatior Hybrid Primroses,Primulaceae,Primula ×polyantha Mill. (pro sp.)
Chinese Windmill Palm,Arecaceae,Trachycarpus fortunei (Hook.) H. Wendl.
Dense False Gilyflower,Polemoniaceae,Allophyllum gilioides (Benth.) A.D. Grant & V.E. Grant ssp. gilioides
Pacific Bleeding Heart,Fumariaceae,Dicentra formosa (Haw.) Walp. ssp. formosa
Roble Colorado,Bignoniaceae,Tabebuia schumanniana Urb.
California Barnacle Lichen,Thelotremataceae,Thelotrema californicum Tuck.
Orthotrichum Moss,Orthotrichaceae,Orthotrichum tenellum Bruch ex Brid.
Yellow Spinecape,Polygonaceae,Goodmania luteola (Parry) Reveal & Ertter
Lac Tree,Sapindaceae,Schleichera oleosa (Lour.) Oken
Gray Everlasting,Asteraceae,Gamochaeta coarctata (Willd.) Kerguélen
Grateloupia,Halymeniaceae,Grateloupia asiatica S. Kawaguchi & H.W. Wang
Texas Venus' Looking-glass,Campanulaceae,Triodanis texana McVaugh
Sierra Lupine,Fabaceae,Lupinus grayi (S. Watson) S. Watson
New Mexico Beeblossom,Onagraceae,Gaura neomexicana Wooton
Wydler's Dancing-lady Orchid,Orchidaceae,Oncidium altissimum (Jacq.) Sw.
Common Goldenbush,Asteraceae,Isocoma coronopifolia (A. Gray) Greene
Mt. Vision Ceanothus,Rhamnaceae,Ceanothus gloriosus J.T. Howell var. porrectus J.T. Howell
Turban Sedge,Cyperaceae,Carex turbinata Liebm.
Rusty Woodsia,Dryopteridaceae,Woodsia ilvensis (L.) R. Br.
Wilkinson's Nailwort,Caryophyllaceae,Paronychia wilkinsonii S. Watson
Forked Nailwort,Caryophyllaceae,Paronychia lindheimeri Engelm. ex A. Gray var. longibracteata Chaudhri
Orange Lichen,Teloschistaceae,Caloplaca phaeocarpella (Nyl.) Zahlbr.
Rapp's Shell Lichen,Arthopyreniaceae,Arthopyrenia rappii Zahlbr.
Smallgrass,Poaceae,Microchloa R. Br.
Trelease's Century Plant,Agavaceae,Agave schottii Engelm. var. treleasei (Toumey) Kearney & Peebles
Annual Rush,Juncaceae,Juncus abortivus Chapm.
Roundleaf Goldenrod,Asteraceae,Solidago patula Muhl. ex Willd. var. patula
Pink Honeysuckle,Caprifoliaceae,Lonicera hispidula (Lindl.) Douglas ex Torr. & A. Gray var. hispidula
Bastard Oak,Fagaceae,Quercus sinuata Walter var. sinuata
Small-leaf Snoutbean,Fabaceae,Rhynchosia parvifolia DC.
Herbaceous Periwinkle,Apocynaceae,Vinca herbacea Waldst. & Kit.
Footsteps Of Spring,Apiaceae,Sanicula arctopoides Hook. & Arn.
Awnpetal Meadowbeauty,Melastomataceae,Rhexia aristosa Britton
Bolander's Onion,Liliaceae,Allium bolanderi S. Watson var. mirabile (L.F. Hend.) McNeal
Variable Sandmat,Euphorbiaceae,Chamaesyce multiformis (Gaudich. ex Hook. & Arn.) Croizat & O. Deg. var. microphylla (Boiss.) O. Deg. & I. Deg.
Field Fescue,Poaceae,"Festuca arvernensis Auquier, Kerguélen & Markgr.-Dannenb."
Violet Honeymyrtle,Myrtaceae,Melaleuca wilsonii F. Muell.
Leptocereus,Cactaceae,Leptocereus (A. Berger) Britton & Rose
Sharpscale Sedge,Cyperaceae,Carex oxylepis Torr. & Hook.
Hairyflower Bellflower,Campanulaceae,Campanula chamissonis Fedorov
Limoncillo De Monte,Myrtaceae,Calyptranthes sintenisii Kiaersk.
Cyrtandra,Gesneriaceae,Cyrtandra ×ambigua (Hillebr.) H. St. John & Storey (pro sp.)
Bulbous Airplant,Bromeliaceae,Tillandsia bulbosa Hook.
Upland Boneset,Asteraceae,Eupatorium sessilifolium L. var. brittonianum Porter
Mock Buckthorn,Rhamnaceae,Sageretia Brongn.
Spoonleaf Sundew,Droseraceae,Drosera intermedia Hayne
Sacramento Waxydogbane,Apocynaceae,Cycladenia humilis Benth.
Tolmie's Penstemon,Scrophulariaceae,Penstemon procerus Douglas ex Graham var. tolmiei (Hook.) Cronquist
Pygmy Pussypaws,Portulacaceae,Cistanthe pygmaea (Parish ex Rydb.) Hershkovitz
False Yucca,Agavaceae,Hesperaloe Engelm.
Orange Lichen,Teloschistaceae,Caloplaca sorocarpa (Vain.) Zahlbr.
Pacific Fescue,Poaceae,Vulpia microstachys (Nutt.) Munro var. pauciflora (Scribn. ex Beal) Lonard & Gould
Sugargum,Myrtaceae,Eucalyptus cladocalyx F. Muell.
Bruised Lichen,Catillariaceae,Toninia ruginosa (Tuck.) Herre
Scabiosa,Dipsacaceae,Knautia L.
Narrowleaf Stenogyne,Lamiaceae,Stenogyne angustifolia A. Gray
Leptodictyum Moss,Amblystegiaceae,Leptodictyum (Schimp.) Warnst.
Sweet Wakerobin,Liliaceae,Trillium vaseyi Harbison
Toothed Flatsedge,Cyperaceae,Cyperus dentatus Torr.
Littleawn Needlegrass,Poaceae,Achnatherum lobatum (Swallen) Barkworth
Drummond's Yelloweyed Grass,Xyridaceae,Xyris drummondii Malme
American Featherfoil,Primulaceae,Hottonia inflata Elliott
Common Tarweed,Asteraceae,Centromadia pungens (Hook. & Arn.) Greene
Schott's Sedge,Cyperaceae,Carex schottii Dewey
Orange Coneflower,Asteraceae,Rudbeckia fulgida Aiton var. speciosa (Wender.) Perdue
Cockspur Grass,Poaceae,Echinochloa P. Beauv.
Smallhead Arnica,Asteraceae,Arnica gracilis Rydb.
Utah Violet,Violaceae,Viola utahensis M.S. Baker & J.C. Clausen ex Baker
Western Vervain,Verbenaceae,Verbena lasiostachys Link
Showy Lady's Slipper,Orchidaceae,Cypripedium reginae Walter
Ducklettuce,Hydrocharitaceae,Ottelia alismoides (L.) Pers.
Dot Lichen,Micareaceae,Micarea denigrata (Fr.) Hedl.
Mesquite,Fabaceae,Prosopis juliflora (Sw.) DC.
Cream Albizia,Fabaceae,Albizia adinocephala (Donn. Sm.) Britton & Rose ex Record
Streamside Schistidium Moss,Grimmiaceae,Schistidium rivulare (Brid.) Podp.
Lake Tahoe Draba,Brassicaceae,Draba asterophora Payson
Wildrye,Poaceae,Elymus ciliaris (Trin.) Tzvel. ssp. ciliaris
Arkansas River Feverfew,Asteraceae,Parthenium tetraneuris Barneby
White Blue Eyed Mary,Scrophulariaceae,Collinsia bartsiifolia Benth. var. stricta Newsom
Lesser Rushy Milkvetch,Fabaceae,Astragalus convallarius Greene var. convallarius
Western Moonwort,Ophioglossaceae,Botrychium hesperium (Maxon & R.T. Clausen) W.H. Wagner & Lellinger
Klamath Gooseberry,Grossulariaceae,Ribes inerme Rydb. var. klamathense (Coville) Jeps.
Skin Lichen,Collemataceae,Leptogium isidiosellum (Riddle) Sierk
Hypnum Moss,Hypnaceae,Hypnum cupressiforme Hedw. var. subjulaceum Molendo
Arizona False Goldenaster,Asteraceae,Heterotheca fulcrata (Greene) Shinners var. arizonica Semple
Hybrid Oak,Fagaceae,Quercus ×rehderi Trel.
Pohlia Moss,Bryaceae,Pohlia bulbifera (Warnst.) Warnst.
Umbrella Flatsedge,Cyperaceae,Cyperus diandrus Torr.
Durian,Bombacaceae,Durio zibethinus Murray
Jovibarba,Crassulaceae,Jovibarba Opiz
Southern Island Phacelia,Hydrophyllaceae,Phacelia floribunda Greene
Western Yarrow,Asteraceae,Achillea millefolium L. var. occidentalis DC.
Carolina Scalystem,Acanthaceae,Elytraria caroliniensis (J.F. Gmel.) Pers. var. caroliniensis
Florist's Cyclamen,Primulaceae,Cyclamen persicum Mill.
Adonis Blazingstar,Loasaceae,Mentzelia multiflora (Nutt.) A. Gray var. multiflora
Wickerstem Buckwheat,Polygonaceae,Eriogonum vimineum Douglas ex Benth.
Laurel Clockvine,Acanthaceae,Thunbergia laurifolia Lindl.
Fringed Sedge,Cyperaceae,Carex crinita Lam.
Fourpetal Cliffbush,Hydrangeaceae,Jamesia tetrapetala N.H. Holmgren & P.K. Holmgren
